epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,983.924,1.79361,1.24486,0.94315,0.41881,0.62447,0.47407,0.19551,1.88971,1.30822,1.0235,0.008581,0.008581,0.008581
45,1006.36,1.7485,1.21368,0.95717,0.39482,0.54852,0.44061,0.18943,1.86911,1.35519,1.0132,0.008548,0.008548,0.008548
46,1028.62,1.72758,1.21843,0.95382,0.39866,0.46695,0.3729,0.15691,1.96994,1.55205,1.04243,0.008515,0.008515,0.008515
47,1051.21,1.77747,1.21906,0.94922,0.43097,0.61744,0.50234,0.21648,1.82298,1.25457,0.99825,0.008482,0.008482,0.008482
48,1074.08,1.73165,1.19752,0.95687,0.38573,0.62166,0.47907,0.1925,1.89856,1.30126,1.02675,0.008449,0.008449,0.008449
49,1096.29,1.72406,1.19622,0.94455,0.40668,0.58325,0.46565,0.18914,1.94723,1.29975,1.05036,0.008416,0.008416,0.008416
50,1118.57,1.69998,1.16187,0.95154,0.44832,0.62025,0.49809,0.21742,1.81343,1.21056,1.00469,0.008383,0.008383,0.008383
51,1140.83,1.7337,1.18018,0.95561,0.39832,0.65362,0.47928,0.21591,1.76168,1.25722,0.9938,0.00835,0.00835,0.00835
52,1162.84,1.67675,1.1519,0.94144,0.43974,0.62307,0.49811,0.22807,1.72744,1.17673,0.97572,0.008317,0.008317,0.008317
53,1185.4,1.68686,1.16617,0.93431,0.3203,0.40084,0.30696,0.12233,2.17301,1.63136,1.0895,0.008284,0.008284,0.008284
54,1208,1.6985,1.15572,0.94852,0.41946,0.60619,0.47954,0.20675,1.82422,1.24171,1.00498,0.008251,0.008251,0.008251
55,1230.96,1.71595,1.16459,0.95052,0.41237,0.63572,0.47777,0.19867,1.8715,1.26928,1.01855,0.008218,0.008218,0.008218
56,1253.22,1.66651,1.14688,0.93584,0.42769,0.65401,0.50012,0.21155,1.73651,1.23784,0.9912,0.008185,0.008185,0.008185
57,1275.81,1.66787,1.16507,0.94887,0.43474,0.6301,0.49439,0.21945,1.79214,1.23525,1.00751,0.008152,0.008152,0.008152
58,1298.01,1.63519,1.13497,0.92645,0.46159,0.64269,0.53504,0.22737,1.7848,1.20872,0.9933,0.008119,0.008119,0.008119
59,1319.96,1.64222,1.12832,0.92465,0.41544,0.58368,0.46639,0.18758,2.00171,1.33818,1.08996,0.008086,0.008086,0.008086
60,1342.54,1.63629,1.1134,0.93629,0.43921,0.66424,0.52727,0.23231,1.77355,1.17171,0.99718,0.008053,0.008053,0.008053
61,1364.85,1.63214,1.11901,0.92807,0.43393,0.65823,0.49818,0.21966,1.78064,1.1816,1.00246,0.00802,0.00802,0.00802
62,1387.35,1.67156,1.13802,0.9262,0.44747,0.66245,0.51265,0.22986,1.78414,1.20736,1.0002,0.007987,0.007987,0.007987
63,1410.17,1.62012,1.11109,0.93206,0.43472,0.62447,0.48886,0.22331,1.76289,1.18372,0.99438,0.007954,0.007954,0.007954
64,1432.43,1.6338,1.12812,0.92083,0.40938,0.609,0.46963,0.20627,1.79137,1.21361,1.00229,0.007921,0.007921,0.007921
65,1454.74,1.56956,1.07761,0.924,0.4247,0.61181,0.48659,0.22558,1.75629,1.17763,1.00532,0.007888,0.007888,0.007888
66,1476.93,1.6035,1.08172,0.93155,0.43199,0.60619,0.49706,0.20382,1.87516,1.22202,1.00871,0.007855,0.007855,0.007855
67,1499.18,1.60949,1.0909,0.92683,0.42467,0.6737,0.51346,0.21817,1.78457,1.2172,1.00525,0.007822,0.007822,0.007822
68,1521.94,1.5698,1.09346,0.91463,0.46139,0.63253,0.53857,0.23763,1.73901,1.18875,0.98418,0.007789,0.007789,0.007789
69,1544.74,1.58473,1.0708,0.91925,0.43936,0.62495,0.48012,0.21682,1.71972,1.22484,0.99087,0.007756,0.007756,0.007756
70,1566.98,1.57281,1.07656,0.91582,0.41854,0.70323,0.51722,0.24217,1.69256,1.15376,0.97843,0.007723,0.007723,0.007723
71,1589.77,1.5582,1.06993,0.9212,0.44845,0.69185,0.52216,0.24967,1.68739,1.14526,0.97088,0.00769,0.00769,0.00769
72,1612.14,1.52733,1.05063,0.91361,0.43352,0.71308,0.54004,0.23876,1.73286,1.13649,0.96869,0.007657,0.007657,0.007657
