epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8246,6.67717,242.152,4.16709,0,0,0,0,6.72681,77.6574,4.15866,0.0802,0.0022,0.0022
2,49.3634,5.9413,39.132,3.8466,0,0,0,0,6.63472,5.38974,4.02444,0.0594852,0.00448515,0.00448515
3,75.7038,3.62911,3.2699,2.07197,0,0,0,0,6.54875,5.44734,3.75294,0.0387551,0.00675512,0.00675512
4,99.6673,3.08418,2.40287,1.33979,0,0,0,0,6.45286,5.50391,3.38524,0.0180099,0.00900991,0.00900991
5,126.137,2.89645,2.09795,1.26018,0,0,0,0,5.52607,5.41983,2.44295,0.009868,0.009868,0.009868
6,150.128,2.67498,1.89264,1.2376,0.48387,0.04219,0.26023,0.10572,3.18705,4.20812,1.56572,0.009835,0.009835,0.009835
7,177.304,2.63396,1.82257,1.2152,0.06263,0.44866,0.14654,0.05267,2.58419,3.19462,1.27227,0.009802,0.009802,0.009802
8,202.154,2.49002,1.72902,1.17323,0.37175,0.10127,0.13069,0.03076,3.06194,2.60952,1.40232,0.009769,0.009769,0.009769
9,229.276,2.36437,1.64986,1.14037,0.24175,0.21519,0.12407,0.03299,2.82809,2.72102,1.31086,0.009736,0.009736,0.009736
10,253.918,2.279,1.58461,1.09278,0.23535,0.32208,0.15389,0.04217,2.5524,2.35409,1.26309,0.009703,0.009703,0.009703
11,281.335,2.29319,1.58964,1.12317,0.2809,0.31505,0.19693,0.0483,2.60286,2.3889,1.29086,0.00967,0.00967,0.00967
12,305.994,2.23732,1.55966,1.09712,0.32227,0.28692,0.22738,0.08237,2.25613,2.09016,1.14498,0.009637,0.009637,0.009637
13,333.454,2.20265,1.4932,1.08558,0.37596,0.391,0.33722,0.12635,2.09211,2.0295,1.09625,0.009604,0.009604,0.009604
14,358.024,2.23176,1.5265,1.09978,0.35071,0.39581,0.29121,0.0786,2.46919,1.75324,1.21865,0.009571,0.009571,0.009571
15,385.272,2.21318,1.50696,1.05542,0.34987,0.33896,0.2817,0.08057,2.55256,1.97963,1.25544,0.009538,0.009538,0.009538
16,410.049,2.13482,1.46384,1.06783,0.29577,0.31505,0.22347,0.07095,2.47405,1.97235,1.21829,0.009505,0.009505,0.009505
17,437.228,2.13107,1.48814,1.0595,0.34115,0.26436,0.19772,0.05306,2.7384,1.9741,1.33039,0.009472,0.009472,0.009472
18,461.911,2.09047,1.41214,1.06198,0.34181,0.39803,0.32129,0.12463,2.11315,1.63474,1.0983,0.009439,0.009439,0.009439
19,488.783,2.10505,1.45084,1.04202,0.34778,0.47257,0.32208,0.11514,2.07936,1.56988,1.08968,0.009406,0.009406,0.009406
20,513.288,2.0258,1.41394,1.04844,0.40103,0.42053,0.3621,0.12562,2.1452,2.00708,1.11402,0.009373,0.009373,0.009373
21,540.799,2.06975,1.38828,1.04828,0.23993,0.30661,0.17593,0.05408,2.37233,2.83948,1.16788,0.00934,0.00934,0.00934
22,565.671,2.00107,1.38319,1.05009,0.3851,0.47117,0.36444,0.13785,2.09718,1.4851,1.1038,0.009307,0.009307,0.009307
23,593.384,2.04199,1.3889,1.04245,0.3318,0.33593,0.27825,0.09854,2.23533,1.74732,1.1654,0.009274,0.009274,0.009274
24,618.266,2.01257,1.39848,1.02935,0.39692,0.52883,0.4257,0.16371,2.02285,1.37936,1.08499,0.009241,0.009241,0.009241
25,645.405,1.97675,1.37315,1.03237,0.41425,0.47539,0.35979,0.12699,2.16489,1.64709,1.13577,0.009208,0.009208,0.009208
